active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,3/31/2017,24,14,GOLDEN STATE WARRIORS,HOME,HOU,WIN,2086,8,18,4,9,4,5,3,4,5,2,0,2,4,19.4
TRUE,4/2/2017,42,26,GOLDEN STATE WARRIORS,HOME,WSH,WIN,2133,15,22,9,14,3,3,0,1,8,1,0,1,3,37.3
TRUE,4/4/2017,19,13,GOLDEN STATE WARRIORS,HOME,MIN,WIN,1793,7,18,3,8,2,4,0,3,9,3,2,3,2,16.2
TRUE,4/5/2017,42,25,GOLDEN STATE WARRIORS,AWAY,PHO,WIN,2111,15,25,8,12,4,7,0,4,11,2,2,3,0,38.6
TRUE,4/10/2017,28,9,GOLDEN STATE WARRIORS,HOME,UTA,LOSS,1797,9,16,6,8,4,5,1,3,4,1,0,1,1,24
TRUE,4/12/2017,20,27,GOLDEN STATE WARRIORS,HOME,LAS,WIN,1707,6,17,5,14,3,4,0,5,8,2,0,6,1,12.8
TRUE,10/17/2017,22,9,GOLDEN STATE WARRIORS,HOME,HOU,LOSS,1773,8,18,3,9,3,3,0,5,4,1,0,2,4,14.3
TRUE,10/20/2017,28,7,GOLDEN STATE WARRIORS,AWAY,NOP,WIN,2107,7,16,4,11,10,10,0,3,8,0,0,1,1,24.7
TRUE,10/21/2017,37,-6,GOLDEN STATE WARRIORS,AWAY,MEM,LOSS,1805,9,17,6,11,13,13,0,6,3,0,0,2,5,28.6
TRUE,10/23/2017,29,22,GOLDEN STATE WARRIORS,AWAY,DAL,WIN,1869,7,15,2,10,13,13,2,0,8,4,0,6,1,25.9
TRUE,10/25/2017,30,14,GOLDEN STATE WARRIORS,HOME,TOR,WIN,2251,9,20,4,11,8,8,0,4,5,3,1,2,2,25.2
TRUE,10/27/2017,20,-8,GOLDEN STATE WARRIORS,HOME,WSH,WIN,2172,7,19,3,13,3,3,0,5,8,2,0,2,2,15.8
